"region","file_name","result"
"asia","paki014.rwl","rwl"
"asia","paki015.rwl","rwl"
"asia","paki016.rwl","rwl"
"asia","paki017.rwl","rwl"
"asia","paki018.rwl","rwl"
"asia","paki019.rwl","rwl"
"asia","paki020.rwl","rwl"
"asia","paki021.rwl","rwl"
"asia","paki022.rwl","rwl"
"asia","paki023.rwl","rwl"
"asia","paki024.rwl","rwl"
"asia","paki025.rwl","rwl"
"asia","paki026.rwl","rwl"
"asia","paki027.rwl","rwl"
"asia","paki028.rwl","rwl"
"asia","paki029.rwl","rwl"
"asia","paki030.rwl","rwl"
"asia","paki031.rwl","rwl"
"asia","paki032.rwl","rwl"
"asia","paki033.rwl","rwl"
"asia","paki034.rwl","rwl"
"asia","paki035.rwl","rwl"
"asia","paki036.rwl","rwl"
"asia","paki037.rwl","rwl"
"asia","paki038.rwl","rwl"
"asia","paki039.rwl","rwl"
"asia","paki040.rwl","rwl"
"asia","paki041.rwl","rwl"
"asia","ph001.rwl","rwl"
"asia","ph001e.rwl","rwl"
"asia","ph001l.rwl","rwl"
"asia","pse001.rwl","rwl"
"asia","pse002.rwl","rwl"
"asia","rus315.rwl","rwl"
"asia","rus316.rwl","rwl"
"asia","rus317.rwl","rwl"
"asia","rus318.rwl","rwl"
"asia","rus319.rwl","rwl"
"asia","rus320.rwl","rwl"
"asia","rus321.rwl","rwl"
"asia","rus322.rwl","rwl"
"asia","rus323.rwl","rwl"
"asia","rus324.rwl","rwl"
"asia","rus325.rwl","rwl"
"asia","rus326.rwl","rwl"
"asia","rus327.rwl","rwl"
"asia","rus328.rwl","rwl"
"asia","rus329.rwl","rwl"
"asia","rus330.rwl","rwl"
"asia","rus331.rwl","rwl"
"asia","rus332.rwl","rwl"
"asia","rus333.rwl","rwl"
"asia","rus334.rwl","rwl"
"asia","rus335.rwl","rwl"
"asia","rus336.rwl","rwl"
"asia","rus337.rwl","rwl"
"asia","rus338.rwl","rwl"
"asia","rus339.rwl","rwl"
"asia","rus340.rwl","rwl"
"asia","rus341.rwl","rwl"
"asia","rus342.rwl","rwl"
"asia","rus343.rwl","rwl"
"asia","rus344.rwl","rwl"
"asia","rus345.rwl","rwl"
"asia","rus346.rwl","rwl"
"asia","rus347.rwl","rwl"
"asia","rus348.rwl","rwl"
"asia","rus349.rwl","rwl"
"asia","rus350.rwl","rwl"
"asia","rus351.rwl","rwl"
"asia","rus352.rwl","rwl"
"asia","rus353.rwl","rwl"
"asia","rus354.rwl","rwl"
"asia","rus355.rwl","rwl"
"asia","rus356.rwl","rwl"
"asia","rus357.rwl","rwl"
"asia","rus358.rwl","rwl"
"asia","rus359.rwl","rwl"
"asia","rus360.rwl","rwl"
"asia","rus361.rwl","rwl"
"asia","rus362.rwl","rwl"
"asia","rus363.rwl","rwl"
"asia","rus364.rwl","rwl"
"asia","rus365.rwl","rwl"
"asia","rus366.rwl","rwl"
"asia","rus367.rwl","rwl"
"asia","rus368.rwl","rwl"
"asia","rus369.rwl","rwl"
"asia","rus370.rwl","rwl"
"asia","rus371.rwl","rwl"
"asia","rus372.rwl","rwl"
"asia","rus373.rwl","rwl"
"asia","rus374.rwl","rwl"
"asia","rus375.rwl","rwl"
"asia","rus376.rwl","rwl"
"asia","rus377.rwl","rwl"
"asia","rus378.rwl","rwl"
"asia","rus379.rwl","rwl"
"asia","rus380.rwl","rwl"
"asia","rus381.rwl","rwl"
"asia","rus382.rwl","rwl"
"asia","rus383.rwl","rwl"
"asia","rus384.rwl","rwl"
"asia","rus385.rwl","rwl"
"asia","rus386.rwl","rwl"
"asia","rus387.rwl","rwl"
"asia","rus388.rwl","rwl"
"asia","rus389.rwl","rwl"
"asia","rus390.rwl","rwl"
"asia","rus391.rwl","rwl"
"asia","rus392.rwl","rwl"
"asia","rus393.rwl","rwl"
"asia","rus394.rwl","rwl"
"asia","russ001.rwl","rwl"
"asia","russ002.rwl","rwl"
"asia","russ003.rwl","rwl"
"asia","russ004.rwl","rwl"
"asia","russ014.rwl","rwl"
"asia","russ015.rwl","rwl"
"asia","russ016.rwl","rwl"
"asia","russ019.rwl","rwl"
"asia","russ020e.rwl","rwl"
"asia","russ020l.rwl","rwl"
"asia","russ020n.rwl","rwl"
"asia","russ020p.rwl","rwl"
"asia","russ020w.rwl","rwl"
"asia","russ020x.rwl","rwl"
"asia","russ021e.rwl","rwl"
"asia","russ021i.rwl","rwl"
"asia","russ021l.rwl","rwl"
"asia","russ021n.rwl","rwl"
"asia","russ021p.rwl","rwl"
"asia","russ021t.rwl","rwl"
"asia","russ021w.rwl","rwl"
"asia","russ021x.rwl","rwl"
"asia","russ022e.rwl","rwl"
"asia","russ022i.rwl","rwl"
"asia","russ022l.rwl","rwl"
"asia","russ022n.rwl","rwl"
"asia","russ022t.rwl","rwl"
"asia","russ022w.rwl","rwl"
"asia","russ022x.rwl","rwl"
"asia","russ023e.rwl","rwl"
"asia","russ023i.rwl","rwl"
"asia","russ023l.rwl","rwl"
"asia","russ023n.rwl","rwl"
"asia","russ023t.rwl","rwl"
"asia","russ023w.rwl","rwl"
"asia","russ023x.rwl","rwl"
"asia","russ024e.rwl","rwl"
"asia","russ024i.rwl","rwl"
"asia","russ024l.rwl","rwl"
"asia","russ024n.rwl","rwl"
"asia","russ024t.rwl","rwl"
"asia","russ024w.rwl","rwl"
"asia","russ024x.rwl","rwl"
"asia","russ025e.rwl","rwl"
"asia","russ025i.rwl","rwl"
"asia","russ025l.rwl","rwl"
"asia","russ025n.rwl","rwl"
"asia","russ025t.rwl","rwl"
"asia","russ025w.rwl","rwl"
"asia","russ025x.rwl","rwl"
"asia","russ027e.rwl","rwl"
"asia","russ027i.rwl","rwl"
"asia","russ027l.rwl","rwl"
"asia","russ027n.rwl","rwl"
"asia","russ027t.rwl","rwl"
"asia","russ027w.rwl","rwl"
"asia","russ027x.rwl","rwl"
"asia","russ028e.rwl","rwl"
"asia","russ028i.rwl","rwl"
"asia","russ028l.rwl","rwl"
"asia","russ028n.rwl","rwl"
"asia","russ028t.rwl","rwl"
"asia","russ028w.rwl","rwl"
"asia","russ028x.rwl","rwl"
"asia","russ029e.rwl","rwl"
"asia","russ029i.rwl","rwl"
"asia","russ029l.rwl","rwl"
"asia","russ029n.rwl","rwl"
"asia","russ029t.rwl","rwl"
"asia","russ029w.rwl","rwl"
"asia","russ029x.rwl","rwl"
"asia","russ030e.rwl","rwl"
"asia","russ030i.rwl","rwl"
"asia","russ030l.rwl","rwl"
"asia","russ030n.rwl","rwl"
"asia","russ030t.rwl","rwl"
"asia","russ030w.rwl","rwl"
"asia","russ030x.rwl","rwl"
"asia","russ031e.rwl","rwl"
"asia","russ031i.rwl","rwl"
"asia","russ031l.rwl","rwl"
"asia","russ031n.rwl","rwl"
"asia","russ031t.rwl","rwl"
"asia","russ031w.rwl","rwl"
"asia","russ031x.rwl","rwl"
"asia","russ032e.rwl","rwl"
"asia","russ032i.rwl","rwl"
"asia","russ032l.rwl","rwl"
"asia","russ032n.rwl","rwl"
"asia","russ032t.rwl","rwl"
"asia","russ032w.rwl","rwl"
"asia","russ032x.rwl","rwl"
"asia","russ033e.rwl","rwl"
"asia","russ033i.rwl","rwl"
"asia","russ033l.rwl","rwl"
"asia","russ033n.rwl","rwl"
"asia","russ033t.rwl","rwl"
"asia","russ033w.rwl","rwl"
"asia","russ033x.rwl","rwl"
"asia","russ034e.rwl","rwl"
"asia","russ034i.rwl","rwl"
"asia","russ034l.rwl","rwl"
"asia","russ034n.rwl","rwl"
"asia","russ034t.rwl","rwl"
"asia","russ034w.rwl","rwl"
"asia","russ034x.rwl","rwl"
"asia","russ035e.rwl","rwl"
"asia","russ035i.rwl","rwl"
"asia","russ035l.rwl","rwl"
"asia","russ035n.rwl","rwl"
"asia","russ035t.rwl","rwl"
"asia","russ035w.rwl","rwl"
"asia","russ035x.rwl","rwl"
"asia","russ036e.rwl","rwl"
"asia","russ036i.rwl","rwl"
"asia","russ036l.rwl","rwl"
"asia","russ036n.rwl","rwl"
"asia","russ036t.rwl","rwl"
"asia","russ036w.rwl","rwl"
"asia","russ036x.rwl","rwl"
"asia","russ037e.rwl","rwl"
"asia","russ037i.rwl","rwl"
"asia","russ037l.rwl","rwl"
"asia","russ037n.rwl","rwl"
"asia","russ037t.rwl","rwl"
"asia","russ037w.rwl","rwl"
"asia","russ037x.rwl","rwl"
"asia","russ038e.rwl","rwl"
"asia","russ038i.rwl","rwl"
"asia","russ038l.rwl","rwl"
"asia","russ038n.rwl","rwl"
"asia","russ038t.rwl","rwl"
"asia","russ038w.rwl","rwl"
"asia","russ038x.rwl","rwl"
"asia","russ039e.rwl","rwl"
"asia","russ039i.rwl","rwl"
"asia","russ039l.rwl","rwl"
"asia","russ039n.rwl","rwl"
"asia","russ039t.rwl","rwl"
"asia","russ039w.rwl","rwl"
